rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goals_per_shot,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
130,Brahim Díaz,es ESP,"FW,DF",Manchester City,17,1999,0.6,0,3,1,33.3,4.91,1.64,0,0,13.8,0,0,0,0.5,0.5,0.16,-0.5,-0.5
131,Eric Dier,eng ENG,"MF,DF",Tottenham,23,1994,31.4,0,32,7,21.9,1.02,0.22,0,0,17.5,1,0,0,2,2,0.06,-2,-2
132,Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,36.9,7,47,17,36.2,1.27,0.46,0.15,0.41,20.7,0,0,0,3.5,3.5,0.08,3.5,3.5
133,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,8.5,0,1,0,0,0.12,0,0,,8.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
134,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,5.9,1,6,2,33.3,1.02,0.34,0.17,0.5,22.7,0,0,0,0.2,0.2,0.03,0.8,0.8
135,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
136,Shane Duffy,ie IRL,DF,Brighton,25,1992,36.6,0,28,4,14.3,0.77,0.11,0,0,10,0,0,0,2.3,2.3,0.08,-2.3,-2.3
137,Paul Dummett,wls WAL,DF,Newcastle Utd,25,1991,17.8,0,4,0,0,0.22,0,0,,14.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
138,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,1,27,8,29.6,0.71,0.21,0.04,0.13,11.5,1,0,0,2.7,2.7,0.1,-1.7,-1.7
139,Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,14.5,0,10,2,20,0.69,0.14,0,0,21.4,0,0,0,0.9,0.9,0.09,-0.9,-0.9
140,Ederson,br BRA,GK,Manchester City,23,1993,35.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
141,Tom Edwards,eng ENG,"DF,MF",Stoke City,18,1999,5.3,0,1,0,0,0.19,0,0,,34.1,0,0,0,0,0,0.01,0,0
142,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
143,Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,9.6,0,8,1,12.5,0.83,0.1,0,0,24.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
144,Christian Eriksen,dk DEN,"MF,FW",Tottenham,25,1992,35.8,10,97,39,40.2,2.71,1.09,0.1,0.26,23,16,0,0,7,7,0.07,3,3
145,Jonny Evans,nir NIR,DF,West Brom,29,1988,25.2,2,10,5,50,0.4,0.2,0.2,0.4,7.8,0,0,0,2.1,2.1,0.22,-0.1,-0.1
146,Patrice Evra,fr FRA,"DF,MF",West Ham,36,1981,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
147,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
148,Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,25.6,2,38,10,26.3,1.48,0.39,0.05,0.2,19.2,2,0,0,2.4,2.4,0.06,-0.4,-0.4
149,Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,7.6,4,10,7,70,1.32,0.92,0.4,0.57,8.5,0,0,0,3.5,3.5,0.35,0.5,0.5
150,Kiko Femenía,es ESP,"DF,FW",Watford,26,1991,19,1,9,3,33.3,0.47,0.16,0.11,0.33,20.7,0,0,0,0.4,0.4,0.04,0.6,0.6
151,Leroy Fer,nl NED,MF,Swansea City,27,1990,15.5,1,12,3,25,0.77,0.19,0.08,0.33,14.6,0,0,0,1.6,1.6,0.14,-0.6,-0.6
152,Edimilson Fernandes,ch SUI,"MF,DF",West Ham,21,1996,9.4,0,7,1,14.3,0.75,0.11,0,0,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
153,Federico Fernández,ar ARG,DF,Swansea City,28,1989,29.7,1,8,2,25,0.27,0.07,0.13,0.5,10.5,0,0,0,0.7,0.7,0.08,0.3,0.3
154,Fernandinho,br BRA,MF,Manchester City,32,1985,32,5,47,19,40.4,1.47,0.59,0.11,0.26,23.1,0,0,0,2.1,2.1,0.04,2.9,2.9
155,Sam Field,eng ENG,MF,West Brom,19,1998,6,1,5,1,20,0.84,0.17,0.2,1,11.4,0,0,0,0.5,0.5,0.11,0.5,0.5
156,Roberto Firmino,br BRA,FW,Liverpool,25,1991,30.7,15,83,36,43.4,2.7,1.17,0.17,0.39,17.1,0,1,1,10.7,9.9,0.12,4.3,4.1
157,Darren Fletcher,sct SCO,MF,Stoke City,33,1984,24.7,1,11,2,18.2,0.45,0.08,0.09,0.5,25.8,0,0,0,0.4,0.4,0.03,0.6,0.6
158,Phil Foden,eng ENG,"MF,FW",Manchester City,17,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
159,José Fonte,pt POR,DF,West Ham,33,1983,7.6,0,8,1,12.5,1.05,0.13,0,0,15.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
160,Fraser Forster,eng ENG,GK,Southampton,29,1988,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
161,Ben Foster,eng ENG,GK,West Brom,34,1983,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
162,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,17.7,0,8,0,0,0.45,0,0,,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
163,Simon Francis,eng ENG,DF,Bournemouth,32,1985,30.1,0,13,1,7.7,0.43,0.03,0,0,19.7,1,0,0,0.6,0.6,0.05,-0.6,-0.6
164,Ryan Fraser,sct SCO,"MF,DF",Bournemouth,23,1994,22.3,5,30,12,40,1.35,0.54,0.17,0.42,20.5,1,0,0,1.8,1.8,0.06,3.2,3.2
165,Christian Fuchs,at AUT,DF,Leicester City,31,1986,21.3,0,11,0,0,0.52,0,0,,24.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5
166,Jay Fulton,sct SCO,MF,Swansea City,23,1994,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
167,Ramiro Funes Mori,ar ARG,DF,Everton,26,1991,1.3,0,1,0,0,0.74,0,0,,16.9,0,0,0,0,0,0.05,0,0
168,Manolo Gabbiadini,it ITA,FW,Southampton,25,1991,12,5,21,9,42.9,1.75,0.75,0.19,0.44,17.5,0,1,1,2.5,1.7,0.08,2.5,2.3
169,Jesús Gámez,es ESP,DF,Newcastle Utd,32,1985,1.1,0,1,0,0,0.92,0,0,,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
170,Idrissa Gana Gueye,sn SEN,MF,Everton,27,1989,30.6,2,23,7,30.4,0.75,0.23,0.09,0.29,25.3,0,0,0,1.5,1.5,0.07,0.5,0.5
171,Dwight Gayle,eng ENG,FW,Newcastle Utd,26,1990,21.8,6,57,21,36.8,2.62,0.97,0.11,0.29,14.3,4,0,0,8.3,8.3,0.16,-2.3,-2.3
172,Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
173,David de Gea,es ESP,GK,Manchester Utd,26,1990,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
174,Kieran Gibbs,eng ENG,DF,West Brom,27,1989,31.4,0,9,1,11.1,0.29,0.03,0,0,18.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
175,Olivier Giroud,fr FRA,FW,Arsenal,30,1986,4.3,4,18,6,33.3,4.18,1.39,0.22,0.67,10.6,0,0,0,3.3,3.3,0.18,0.7,0.7
176,Olivier Giroud,fr FRA,FW,Chelsea,30,1986,6.8,3,30,8,26.7,4.4,1.17,0.1,0.38,11.5,0,0,0,3.6,3.6,0.12,-0.6,-0.6
177,Connor Goldson,eng ENG,DF,Brighton,24,1992,2.2,0,3,1,33.3,1.35,0.45,0,0,7.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
178,Heurelho Gomes,br BRA,GK,Watford,36,1981,23.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
179,Joe Gomez,eng ENG,DF,Liverpool,20,1997,21.1,0,5,0,0,0.24,0,0,,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
180,Dan Gosling,eng ENG,MF,Bournemouth,27,1990,21.6,2,22,8,36.4,1.02,0.37,0.09,0.25,16.3,0,0,0,2.1,2.1,0.09,-0.1,-0.1
181,Lee Grant,eng ENG,GK,Stoke City,34,1983,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
182,Andre Gray,jm JAM,FW,Watford,26,1991,16.6,5,34,13,38.2,2.04,0.78,0.15,0.38,12.3,0,0,0,6.7,6.7,0.2,-1.7,-1.7
183,Demarai Gray,jm JAM,"MF,FW",Leicester City,21,1996,18.9,3,36,9,25,1.91,0.48,0.08,0.33,20.7,1,0,0,2.5,2.5,0.07,0.5,0.5
184,Pascal Groß,de GER,"FW,MF",Brighton,26,1991,32.5,7,43,19,44.2,1.32,0.58,0.14,0.32,21.5,1,1,1,3.3,2.5,0.06,3.7,3.5
185,Marko Grujić,rs SRB,"MF,DF",Liverpool,21,1996,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
186,İlkay Gündoğan,de GER,MF,Manchester City,26,1990,16.9,4,34,10,29.4,2.02,0.59,0.09,0.3,19.6,1,1,1,3,2.3,0.07,1,0.7
187,Florent Hadergjonaj,xk KVX,"DF,MF",Huddersfield,23,1994,18.6,0,8,2,25,0.43,0.11,0,0,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
188,Massadio Haïdara,ml MLI,FW,Newcastle Utd,24,1992,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
189,Ben Hamer,eng ENG,GK,Leicester City,29,1987,3.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
190,Rekeem Harper,eng ENG,MF,West Brom,17,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
191,Joe Hart,eng ENG,GK,West Ham,30,1987,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
192,Isaac Hayden,eng ENG,MF,Newcastle Utd,22,1995,15.3,1,14,9,64.3,0.92,0.59,0.07,0.11,22.1,0,0,0,1,1,0.07,0,0
193,Eden Hazard,be BEL,"FW,MF",Chelsea,26,1991,26.9,12,69,34,49.3,2.56,1.26,0.14,0.29,17.4,1,2,2,7.7,6.2,0.09,4.3,3.8
194,Tom Heaton,eng ENG,GK,Burnley,31,1986,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
195,Michael Hefele,de GER,DF,Huddersfield,26,1990,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
196,Ahmed Hegazi,eg EGY,DF,West Brom,26,1991,37.6,2,14,4,28.6,0.37,0.11,0.14,0.5,10.8,0,0,0,1.7,1.7,0.12,0.3,0.3
197,Tomer Hemed,il ISR,FW,Brighton,30,1987,9.4,2,17,7,41.2,1.8,0.74,0.12,0.29,14.8,0,0,0,1.9,1.9,0.11,0.1,0.1
198,Jordan Henderson,eng ENG,MF,Liverpool,27,1990,24.1,1,15,3,20,0.62,0.12,0.07,0.33,23.8,1,0,0,1.2,1.2,0.08,-0.2,-0.2
199,Jeff Hendrick,ie IRL,"FW,MF",Burnley,25,1992,25.9,2,25,6,24,0.97,0.23,0.08,0.33,19.7,0,0,0,2,2,0.08,0,0
200,Wayne Hennessey,wls WAL,GK,Crystal Palace,30,1987,27,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
201,Javier Hernández,mx MEX,FW,West Ham,29,1988,17.2,8,29,16,55.2,1.69,0.93,0.28,0.5,13.6,1,0,0,5,5,0.17,3,3
202,Ander Herrera,es ESP,MF,Manchester Utd,27,1989,14.1,0,12,1,8.3,0.85,0.07,0,0,25.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4
203,Son Heung-min,kr KOR,FW,Tottenham,25,1992,25.7,12,75,33,44,2.91,1.28,0.16,0.36,16.3,0,0,0,10.2,10.2,0.14,1.8,1.8
204,Wesley Hoedt,nl NED,DF,Southampton,23,1994,28,0,15,2,13.3,0.54,0.07,0,0,14.4,0,0,0,1.3,1.3,0.09,-1.3,-1.3
205,Jonathan Hogg,eng ENG,MF,Huddersfield,28,1988,26.6,0,12,2,16.7,0.45,0.08,0,0,24,0,0,0,0.4,0.4,0.03,-0.4,-0.4
206,Rob Holding,eng ENG,DF,Arsenal,21,1995,9.1,0,1,0,0,0.11,0,0,,10,0,0,0,0.1,0.1,0.11,-0.1,-0.1
207,José Holebas,gr GRE,DF,Watford,33,1984,26.5,0,17,3,17.6,0.64,0.11,0,0,25.9,2,0,0,0.6,0.6,0.03,-0.6,-0.6
208,Mason Holgate,eng ENG,DF,Everton,20,1996,13.2,0,6,1,16.7,0.46,0.08,0,0,11.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6
209,Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,16,2000,0.3,0,2,1,50,6.21,3.1,0,0,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
210,Will Hughes,eng ENG,MF,Watford,22,1995,11,2,12,4,33.3,1.09,0.36,0.17,0.5,21,0,0,0,0.6,0.6,0.05,1.4,1.4
211,Jordan Hugill,eng ENG,FW,West Ham,25,1992,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
212,Uwe Hünemeier,de GER,DF,Brighton,31,1986,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
213,Emerson Hyndman,us USA,MF,Bournemouth,21,1996,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
214,Pierre Højbjerg,dk DEN,MF,Southampton,21,1995,18.6,0,16,6,37.5,0.86,0.32,0,0,23.6,0,0,0,1,1,0.06,-1,-1
215,Jordon Ibe,eng ENG,"MF,FW",Bournemouth,21,1995,22.2,2,54,16,29.6,2.44,0.72,0.04,0.13,21.8,4,0,0,3,3,0.05,-1,-1
216,Vicente Iborra,es ESP,MF,Leicester City,29,1988,15.7,3,14,4,28.6,0.89,0.26,0.21,0.75,12.1,0,0,0,1.7,1.7,0.12,1.3,1.3
217,Zlatan Ibrahimović,se SWE,"MF,FW",Manchester Utd,35,1981,1.2,0,4,1,25,3.4,0.85,0,0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
218,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,20,1996,9.2,3,29,10,34.5,3.14,1.08,0.1,0.3,17.4,0,0,0,4.1,4.1,0.15,-1.1,-1.1
219,Tom Ince,eng ENG,"MF,FW",Huddersfield,25,1992,27.2,2,70,20,28.6,2.57,0.73,0.03,0.1,18.7,4,0,0,6.4,6.4,0.09,-4.4,-4.4
220,Danny Ings,eng ENG,FW,Liverpool,25,1992,3,1,8,5,62.5,2.7,1.69,0.13,0.2,11.8,0,0,0,1.1,1.1,0.14,-0.1,-0.1
221,Stephen Ireland,ie IRL,"MF,FW",Stoke City,30,1986,1.5,0,3,0,0,2.06,0,0,,18.5,0,0,0,0.4,0.4,0.12,-0.4,-0.4
222,Alex Iwobi,ng NGA,"MF,FW",Arsenal,21,1996,20.3,3,45,22,48.9,2.21,1.08,0.07,0.14,18.4,0,0,0,3.9,3.9,0.09,-0.9,-0.9
223,José Izquierdo,co COL,"MF,FW",Brighton,25,1992,22,5,52,16,30.8,2.36,0.73,0.1,0.31,19.5,0,0,0,3.8,3.8,0.07,1.2,1.2
224,Phil Jagielka,eng ENG,DF,Everton,34,1982,22.9,0,7,2,28.6,0.31,0.09,0,0,12.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5
225,Eldin Jakupović,ch SUI,GK,Leicester City,32,1984,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
226,Matty James,eng ENG,MF,Leicester City,26,1991,11,0,11,1,9.1,1,0.09,0,0,16.5,0,0,0,1.3,1.3,0.12,-1.3,-1.3
227,Daryl Janmaat,nl NED,DF,Watford,28,1989,20.2,3,24,10,41.7,1.19,0.49,0.13,0.3,20.3,0,0,0,1.8,1.8,0.08,1.2,1.2
228,Vincent Janssen,nl NED,DF,Tottenham,23,1994,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
229,Jesé,es ESP,"FW,MF",Stoke City,24,1993,6.8,1,12,4,33.3,1.76,0.59,0.08,0.25,18.8,0,0,0,0.9,0.9,0.08,0.1,0.1
230,Gabriel Jesus,br BRA,FW,Manchester City,20,1997,18.5,13,54,30,55.6,2.91,1.62,0.24,0.43,12,0,0,2,13.8,12.2,0.23,-0.8,0.8
231,Glen Johnson,eng ENG,DF,Stoke City,32,1984,6.1,0,2,1,50,0.33,0.16,0,0,21,0,0,0,0.1,0.1,0.04,-0.1,-0.1
232,Phil Jones,eng ENG,DF,Manchester Utd,25,1992,21.9,0,2,0,0,0.09,0,0,,18.8,0,0,0,0.4,0.4,0.21,-0.4,-0.4
233,Joselu,es ESP,FW,Newcastle Utd,27,1990,19,4,46,16,34.8,2.42,0.84,0.09,0.25,15.9,0,0,1,6,5.2,0.11,-2,-1.2
234,Mathias Jørgensen,dk DEN,DF,Huddersfield,27,1990,38,0,13,3,23.1,0.34,0.08,0,0,13,0,0,0,1.9,1.9,0.15,-1.9,-1.9
235,Christian Kabasele,be BEL,DF,Watford,26,1991,25.9,2,10,5,50,0.39,0.19,0.2,0.4,10.7,0,0,0,0.7,0.7,0.07,1.3,1.3
236,Younès Kaboul,fr FRA,DF,Watford,31,1986,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
237,Elias Kachunga,cd COD,"FW,MF",Huddersfield,25,1992,14.8,1,12,5,41.7,0.81,0.34,0.08,0.2,11.1,0,0,0,1.9,1.9,0.16,-0.9,-0.9
238,Sullay Kaikai,sl SLE,MF,Crystal Palace,21,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
239,Harry Kane,eng ENG,FW,Tottenham,24,1993,34.2,30,181,72,39.8,5.3,2.11,0.15,0.39,16.9,10,2,3,24.8,22.4,0.12,5.2,5.6
240,N'Golo Kanté,fr FRA,MF,Chelsea,26,1991,33.3,1,25,5,20,0.75,0.15,0.04,0.2,25.7,0,0,0,0.8,0.8,0.03,0.2,0.2
241,Loris Karius,de GER,GK,Liverpool,24,1993,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
242,Orestis Karnezis,gr GRE,GK,Watford,32,1985,14.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
243,Beram Kayal,il ISR,MF,Brighton,29,1988,8.3,0,4,1,25,0.48,0.12,0,0,16.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
244,Michael Keane,eng ENG,DF,Everton,24,1993,28.4,0,15,1,6.7,0.53,0.04,0,0,11.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1
245,Martin Kelly,eng ENG,DF,Crystal Palace,27,1990,13.3,0,5,2,40,0.38,0.15,0,0,12.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
246,Kenedy,br BRA,"MF,DF",Newcastle Utd,21,1996,11.4,2,23,5,21.7,2.02,0.44,0.09,0.4,21.6,1,0,0,2.4,2.4,0.1,-0.4,-0.4
247,Jonjoe Kenny,eng ENG,DF,Everton,20,1997,17.7,0,3,1,33.3,0.17,0.06,0,0,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
248,Andy King,wls WAL,MF,Leicester City,28,1988,6,1,6,1,16.7,1.01,0.17,0.17,1,16,0,0,0,0.5,0.5,0.09,0.5,0.5
249,Andy King,wls WAL,MF,Swansea City,28,1988,7.9,2,8,4,50,1.01,0.5,0.25,0.5,19.8,0,0,0,1,1,0.12,1,1
250,Joshua King,no NOR,"FW,MF",Bournemouth,25,1992,27.3,8,49,19,38.8,1.8,0.7,0.12,0.32,15.9,0,2,2,6.5,4.9,0.1,1.5,1.1
251,Davy Klaassen,nl NED,"MF,FW",Everton,24,1993,2.8,0,2,2,100,0.72,0.72,0,0,25,0,0,0,0.1,0.1,0.04,-0.1,-0.1
252,Ragnar Klavan,ee EST,DF,Liverpool,31,1985,16.1,1,1,1,100,0.06,0.06,1,1,0.9,0,0,0,0.9,0.9,0.87,0.1,0.1
253,Anthony Knockaert,fr FRA,"MF,FW",Brighton,25,1991,26.9,3,46,12,26.1,1.71,0.45,0.07,0.25,19,0,0,0,4.1,4.1,0.09,-1.1,-1.1
254,Sead Kolašinac,ba BIH,DF,Arsenal,24,1993,23.9,2,21,6,28.6,0.88,0.25,0.1,0.33,13.2,0,0,0,2.2,2.2,0.11,-0.2,-0.2
255,Vincent Kompany,be BEL,DF,Manchester City,31,1986,15.5,1,9,2,22.2,0.58,0.13,0.11,0.5,9.8,0,0,0,0.8,0.8,0.09,0.2,0.2
256,Terence Kongolo,nl NED,DF,Huddersfield,23,1994,11.7,0,2,0,0,0.17,0,0,,15,0,0,0,0.3,0.3,0.14,-0.3,-0.3
257,Laurent Koscielny,fr FRA,DF,Arsenal,31,1985,24.7,2,9,2,22.2,0.36,0.08,0.22,1,9.4,0,0,0,1.9,1.9,0.21,0.1,0.1
258,Cheikhou Kouyaté,sn SEN,MF,West Ham,27,1989,31.1,2,23,4,17.4,0.74,0.13,0.09,0.5,14.2,0,0,0,2.7,2.7,0.12,-0.7,-0.7
259,Bojan Krkić,es ESP,MF,Stoke City,26,1990,0.8,0,1,0,0,1.27,0,0,,20.5,0,0,0,0,0,0.03,0,0
260,Grzegorz Krychowiak,pl POL,MF,West Brom,27,1990,18.2,0,17,3,17.6,0.93,0.16,0,0,23.3,1,0,0,0.8,0.8,0.05,-0.8,-0.8
261,Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,26,1991,23.7,3,42,14,33.3,1.77,0.59,0.05,0.14,21.6,0,1,1,3.1,2.3,0.05,-0.1,-0.3
262,Alexandre Lacazette,fr FRA,FW,Arsenal,26,1991,24.5,14,66,32,48.5,2.7,1.31,0.18,0.38,13.6,0,2,2,13.7,12.1,0.18,0.3,-0.1
263,Freddie Ladapo,eng ENG,FW,Crystal Palace,24,1993,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
264,Adam Lallana,eng ENG,"MF,FW",Liverpool,29,1988,3.4,0,11,0,0,3.21,0,0,,18.9,0,0,0,1.5,1.5,0.13,-1.5,-1.5
